149,Madrid (MS)    Web,Spa,3284.75( 9),-18,349,1389,356*,4079*,0,0,0
150,Lagos (M),Nig,3188.75(11),na,508*,778*,742*,3887*,520*,0,1*
151,Kovrov (S),Rus,3141.00( 5),197,403*,415*,1898*,3864*,50,0,0
152,Vorkuta (S),Rus,3114.50( 2),144,739*,827*,979*,1280*,0,0,0
153,Montreal TSKP (Web,Can,2969.00( 5),na,900,364,512,2126,175,0,0
154,Copenhagen (MS)Web,Den,2948.00( 2),na,989*,363,0,2428*,0,0,0
155,Karaganda (S),Kaz,2805.25( 3),na,1234,148,131,495,0,0,0
156,Monterrey (MS) Web,Mex,2804.75( 5),-54,46,40,219,10253,0,0,0
157,Sarajevo (S),Bos,2767.00(12),-54,1091,338,303*,382,0,0,0
158,Lenasia (S),SA,2653.15(12),-22,549,173,533,3797,1664*,0,15
159,Munich (S)     Web,Ger,2633.00( 7),-30,794,770*,550,0,0,0,0
160,Franco da Rocha,Bra,2607.75( 5),-44,118,493,334*,6847,0,0,0
161,Guadalajara (S)Web,Mex,2605.50( 7),-33,109,139,412,8170,0,0,0
162,Houston (S)    Web,USA,2514.90(10),22,441,962*,710*,1218*,114*,0,27*
163,Rio de Janeiro,Bra,2399.50( 5),-2,92,1126*,99,4160,0,0,0
164,Astana (S),Kaz,2388.25( 2),na,486,109,243,933,2286,381*,0
165,Belo Horizonte Web,Bra,2336.00( 3),-26,116,316,720*,5712,0,0,0
166,New Govardhana,Aus,2310.75( 2),-10,556,398*,1171*,861,0,0,0
167,Severodvinsk (S,Rus,2298.75( 2),-26,580,517,834*,819,0,0,0
168,Skudai (S),Mal,2151.10(15),na,648*,316,310,1414,306,0,2
169,Zurich (S)     Web,Swi,2128.25(12),52,400*,777*,936*,333*,0,0,5*
170,Itajai (S),Bra,2066.60( 7),-54,163,361,394,4730,1,0,0
171,Arusha (S),Tan,2042.75( 1),-54,192*,1158*,0,2003,0,0,0
172,Zaporozhye (S),Ukr,2028.00( 4),na,429,358,897,1454,0,0,0
173,Tokyo (S),Jap,1887.00( 1),na,782,323,0,0,0,0,0
174,Florianopolis (,Bra,1819.00(11),299,7,1167*,0,2552*,0,0,0
175,Seremban (S),Mal,1814.65(14),na,463*,552,136,959,289,0,0
176,Naval Kunda (S),Spa,1699.50(10),na,370,913,11,164,0,0,0
177,Genova (MS),Ita,1666.00( 1),na,773,0,240,0,0,0,0
178,Sandton (S),SA,1647.25( 5),na,429,0,329,2499,0,0,10*
179,Zagreb (MS),Cro,1563.00( 7),na,69,231*,1692*,1392*,0,0,0
180,Columbus (S)   Web,USA,1521.30( 5),-58,466,224,498,456,23,0,2*
181,Sarapul (S),Rus,1519.00( 2),na,3,80,1342,3048,0,0,0
182,Bangkok (MS),Tha,1498.00( 1),na,464,300,40,0,2500,0,0
183,Kinshasa (S),Con,1479.50( 4),-31,355,384*,355*,832*,0,0,0
184,Vologda (MS),Rus,1445.00(12),-5,187,608*,261,1330*,0,0,0
185,Krishna Culture,USA,1413.30(12),-13,519,98*,414,138,358*,0,7
186,St. Louis (S)  Web,USA,1337.50( 2),na,384,265,410,386,30,0,1*
187,Bologna (MS),Ita,1308.50( 3),-11,521,0,533,0,0,0,0
188,Bukit-Mertajam,Mal,1268.50(14),na,272*,46,30,2654,0,0,12*
189,Radhadesh (L)  Web,Bel,1236.50( 2),na,9,1001,94,682,0,0,0
190,Donetsk (M),Ukr,1230.25( 2),-78,325,150,92,1537,0,0,0
191,Calgary (MS)   Web,Can,1221.25( 7),na,106*,335,234,229,600,100*,12*
192,Perth (S)      Web,Aus,1219.10( 5),-70,245,36,911*,744,516,0,2*
193,Campina Grande,Bra,1218.80( 6),na,18,240,266,3228,28,0,0
194,Porto (S),Por,1211.75( 3),na,62,189,226,3137,15,0,0
195,Cape Town (S),SA,1169.50( 7),60,148*,42,11*,3280*,60,0,0
196,Midrand (S),SA,1140.00(10),na,231,38,262,2036,0,0,8*
197,Cintamani Dhama,USA,1126.25(12),-35,269,422,223*,219*,0,0,6*
198,Thailand TSKP (,Tha,1120.00( 1),na,0,0,0,0,11200,0,0
199,Gaborone (S),Bot,1119.25(12),-26,235,69,166,877,690*,110*,0
200,Dublin (S),Ire,1118.50( 2),na,419,0,42,1038,0,0,0
